Game Number,Bot 1 Level,Bot 2 Level,Round,Diamond,Bot 1 Play,Bot 2 Play,Winner,Points Awarded
1,medium,expert,1,1 ♦,"['1 ♠', '1 ♣']",1 ♣,"['bot1', 'bot2']",1
1,medium,expert,2,10 ♦,"['10 ♠', '10 ♣']",10 ♣,"['bot1', 'bot2']",10
1,medium,expert,3,4 ♦,"['4 ♠', '2 ♣']",2 ♣,bot1,4
1,medium,expert,4,13 ♦,"['13 ♠', '13 ♣']",13 ♣,"['bot1', 'bot2']",13
1,medium,expert,5,8 ♦,"['8 ♠', '3 ♣']",3 ♣,bot1,8
1,medium,expert,6,6 ♦,"['6 ♠', '4 ♣']",4 ♣,bot1,6
1,medium,expert,7,7 ♦,"['7 ♠', '5 ♣']",5 ♣,bot1,7
1,medium,expert,8,2 ♦,"['2 ♠', '6 ♣']",6 ♣,bot2,2
1,medium,expert,9,5 ♦,"['5 ♠', '7 ♣']",7 ♣,bot2,5
1,medium,expert,10,12 ♦,"['12 ♠', '12 ♣']",12 ♣,"['bot1', 'bot2']",12
1,medium,expert,11,11 ♦,"['11 ♠', '11 ♣']",11 ♣,"['bot1', 'bot2']",11
1,medium,expert,12,3 ♦,"['3 ♠', '8 ♣']",8 ♣,bot2,3
1,medium,expert,13,9 ♦,"['9 ♠', '9 ♣']",9 ♣,"['bot1', 'bot2']",9

Game Number,1,Final Scores
bot1,53.0
bot2,38.0
Winner,bot1

2,medium,expert,1,7 ♦,"['7 ♠', '1 ♣']",1 ♣,bot1,7
2,medium,expert,2,10 ♦,"['10 ♠', '10 ♣']",10 ♣,"['bot1', 'bot2']",10
2,medium,expert,3,8 ♦,"['8 ♠', '2 ♣']",2 ♣,bot1,8
2,medium,expert,4,11 ♦,"['11 ♠', '11 ♣']",11 ♣,"['bot1', 'bot2']",11
2,medium,expert,5,1 ♦,"['1 ♠', '3 ♣']",3 ♣,bot2,1
2,medium,expert,6,9 ♦,"['9 ♠', '4 ♣']",4 ♣,bot1,9
2,medium,expert,7,13 ♦,"['13 ♠', '13 ♣']",13 ♣,"['bot1', 'bot2']",13
2,medium,expert,8,2 ♦,"['2 ♠', '5 ♣']",5 ♣,bot2,2
2,medium,expert,9,6 ♦,"['6 ♠', '6 ♣']",6 ♣,"['bot1', 'bot2']",6
2,medium,expert,10,5 ♦,"['5 ♠', '7 ♣']",7 ♣,bot2,5
2,medium,expert,11,4 ♦,"['4 ♠', '8 ♣']",8 ♣,bot2,4
2,medium,expert,12,3 ♦,"['3 ♠', '9 ♣']",9 ♣,bot2,3
2,medium,expert,13,12 ♦,"['12 ♠', '12 ♣']",12 ♣,"['bot1', 'bot2']",12

Game Number,2,Final Scores
bot1,50.0
bot2,41.0
Winner,bot1

3,medium,expert,1,10 ♦,"['10 ♠', '10 ♣']",10 ♣,"['bot1', 'bot2']",10
3,medium,expert,2,11 ♦,"['11 ♠', '11 ♣']",11 ♣,"['bot1', 'bot2']",11
3,medium,expert,3,8 ♦,"['8 ♠', '1 ♣']",1 ♣,bot1,8
3,medium,expert,4,12 ♦,"['12 ♠', '12 ♣']",12 ♣,"['bot1', 'bot2']",12
3,medium,expert,5,5 ♦,"['5 ♠', '2 ♣']",2 ♣,bot1,5
3,medium,expert,6,2 ♦,"['2 ♠', '3 ♣']",3 ♣,bot2,2
3,medium,expert,7,7 ♦,"['7 ♠', '4 ♣']",4 ♣,bot1,7
3,medium,expert,8,9 ♦,"['9 ♠', '5 ♣']",5 ♣,bot1,9
3,medium,expert,9,6 ♦,"['6 ♠', '6 ♣']",6 ♣,"['bot1', 'bot2']",6
3,medium,expert,10,4 ♦,"['4 ♠', '7 ♣']",7 ♣,bot2,4
3,medium,expert,11,13 ♦,"['13 ♠', '13 ♣']",13 ♣,"['bot1', 'bot2']",13
3,medium,expert,12,1 ♦,"['1 ♠', '8 ♣']",8 ♣,bot2,1
3,medium,expert,13,3 ♦,"['3 ♠', '9 ♣']",9 ♣,bot2,3

Game Number,3,Final Scores
bot1,55.0
bot2,36.0
Winner,bot1

4,medium,expert,1,9 ♦,"['9 ♠', '1 ♣']",1 ♣,bot1,9
4,medium,expert,2,7 ♦,"['7 ♠', '2 ♣']",2 ♣,bot1,7
4,medium,expert,3,8 ♦,"['8 ♠', '3 ♣']",3 ♣,bot1,8
4,medium,expert,4,4 ♦,"['4 ♠', '4 ♣']",4 ♣,"['bot1', 'bot2']",4
4,medium,expert,5,3 ♦,"['3 ♠', '5 ♣']",5 ♣,bot2,3
4,medium,expert,6,10 ♦,"['10 ♠', '10 ♣']",10 ♣,"['bot1', 'bot2']",10
4,medium,expert,7,11 ♦,"['11 ♠', '11 ♣']",11 ♣,"['bot1', 'bot2']",11
4,medium,expert,8,2 ♦,"['2 ♠', '6 ♣']",6 ♣,bot2,2
4,medium,expert,9,12 ♦,"['12 ♠', '12 ♣']",12 ♣,"['bot1', 'bot2']",12
4,medium,expert,10,6 ♦,"['6 ♠', '7 ♣']",7 ♣,bot2,6
4,medium,expert,11,5 ♦,"['5 ♠', '8 ♣']",8 ♣,bot2,5
4,medium,expert,12,13 ♦,"['13 ♠', '13 ♣']",13 ♣,"['bot1', 'bot2']",13
4,medium,expert,13,1 ♦,"['1 ♠', '9 ♣']",9 ♣,bot2,1

Game Number,4,Final Scores
bot1,49.0
bot2,42.0
Winner,bot1

5,medium,expert,1,3 ♦,"['3 ♠', '1 ♣']",1 ♣,bot1,3
5,medium,expert,2,4 ♦,"['4 ♠', '2 ♣']",2 ♣,bot1,4
5,medium,expert,3,12 ♦,"['12 ♠', '12 ♣']",12 ♣,"['bot1', 'bot2']",12
5,medium,expert,4,2 ♦,"['2 ♠', '3 ♣']",3 ♣,bot2,2
